dataset,method,IBS_HM,mse,Max_brier,mae,mdape,fit_time,inference_time,r2,Max_brier_HM,IBS,mape,rmse,mean_roc,c_index,c_index_mean,mdape_t05,mdape_tE,mdape_tPDF
SCANIA,ElasticNet,0.1055598580286981,4227.166720804233,0.2079361503666418,51.47049368144573,0.3792450392606361,26.216525077819824,0.8664577007293701,0.4131021383767742,0.2531847133757962,0.0890697013596976,1.5595573275509953,65.01666494679831,0.3464369665934271,0.7392465385233125,,,,
SCANIA,RandomForest,0.0996844107559731,3758.877595454859,0.193608430450845,47.68937155908812,0.3541804953478918,10.74339771270752,7.086049318313599,0.4781191827569564,0.2403521918321468,0.0832700886697129,1.4553271432688473,61.3096859839851,0.3493180715122612,0.7485660689622181,,,,
SCANIA,TABPFNv2,0.1023968876209069,3876.549448423165,0.1982597717852076,48.982370671246905,0.3581866062632269,2.107477903366089,1035.427580833435,0.4617816774155059,0.2448950917946796,0.0856198613547665,1.593624805958163,62.26194221531452,0.3548089547956412,0.7435868625027323,,,,
SCANIA,CatBoost_W_,0.1009205293246753,3964.326203211752,0.1973884745301868,48.30061804055672,0.3655847374401347,97.04681539535522,9.55625319480896,0.4495947936022629,0.2406800299737729,0.0845940199799813,1.303635301040408,62.96289544812685,0.3335438060265943,0.7462124208040607,,,,
SCANIA,XGBoost,0.1003791773909785,3836.364797242341,0.1973371729766389,48.02638342330499,0.3599004739938525,9.094621181488035,5.916725873947144,0.4673608956971103,0.2413357062570251,0.0839327318398546,1.3740408575493286,61.93839517813115,0.3405194466149815,0.7473087916006088,,,,
SCANIA,sktimeLSTMFCN,0.0489266120301091,1209.0886756080877,0.0772304841408414,23.414463466173054,0.1796852516108747,1800.496220111847,38.99566841125488,0.8321306905793773,0.1028006744098913,0.0380623926259578,0.3121239670185806,34.77195242732406,0.1376896753064903,0.8923268211921999,,,,
SCANIA,sktimeInceptionTime,0.0527605796328714,1475.3195607047091,0.0825850864532569,25.25412334299972,0.1910128714381784,1303.523406982422,75.15917706489563,0.7951673183063436,0.1084675908579992,0.0416866600313044,0.3269032889536566,38.40988884004624,0.1571487806491963,0.8852507519396474,,,,
SCANIA,sktimeCNN,0.0736739863489012,2468.667889538797,0.1328481862799668,35.25058445303337,0.2696933134005084,185.63346791267395,41.93709349632263,0.657251298299256,0.1684619707755713,0.0597699240483124,0.5910111818604731,49.68569099387466,0.2445191641048756,0.8355332070605345,,,,
SCANIA,sktimeFCN,0.0582870233894422,1407.9376295766265,0.0940920635058364,27.85198098212514,0.2287241518496273,342.0223309993744,46.62027144432068,0.8045225942874129,0.1273417010116148,0.044961517132574,0.6387093955504827,37.52249498069959,0.209853951272377,0.8812235569652288,,,,
SCANIA,sktimeResNet,0.052884497907976,1450.578048917045,0.0854510639288843,25.32123106094548,0.1930754893146129,925.7143731117249,93.8114321231842,0.798602418296614,0.1121206444361184,0.0416375622091808,0.3322551923393013,38.08645492713971,0.1654682093384194,0.8845450701857095,,,,
